Year	Movie
1916	Intolerance: Love’s Struggle Throughout the Ages
1926	The General
1931	City Lights
1933	King Kong
1934	It Happened One Night
1937	Snow White and the Seven Dwarfs
1939	Gone with the Wind
1939	Mr. Smith Goes to Washington
1939	The Wizard of Oz
1940	The Grapes of Wrath
1940	The Philadelphia Story
1941	Citizen Kane
1941	The Maltese Falcon
1942	Casablanca
1944	Double Indemnity
1946	It’s a Wonderful Life
1946	The Best Years of Our Lives
1948	The Treasure of the Sierra Madre
1950	All About Eve
1950	Sunset Boulevard
1951	A Streetcar Named Desire
1952	High Noon
1952	Singin’ in the Rain
1953	Shane
1954	On the Waterfront
1954	Rear Window
1956	The Searchers
1957	The Bridge on the River Kwai
1958	Vertigo
1959	North by Northwest
1959	Some Like It Hot
1960	Psycho
1961	West Side Story
1962	Lawrence of Arabia
1964	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1965	The Sound of Music
1967	Bonnie and Clyde
1967	The Graduate
1968	2001: A Space Odyssey
1969	Butch Cassidy and the Sundance Kid
1969	Easy Rider
1969	Midnight Cowboy
1970	M*A*S*H
1971	A Clockwork Orange
1971	The French Connection
1971	The Last Picture Show
1972	The Godfather
1973	American Graffiti
1974	Chinatown
1974	The Godfather: Part II
1975	Jaws
1975	Nashville
1975	One Flew Over the Cuckoo’s Nest
1976	All the President’s Men
1976	Network
1976	Rocky
1976	Taxi Driver
1977	Annie Hall
1978	The Deer Hunter
1979	Alien
1979	Apocalypse Now
1980	Raging Bull
1980	The Empire Strikes Back
1981	Raiders of the Lost Ark
1982	Blade Runner
1982	E.T. the Extra-Terrestrial
1982	Sophie’s Choice
1982	Tootsie
1985	Back to the Future
1986	Platoon
1989	Do the Right Thing
1990	GoodFellas
1991	The Silence of the Lambs
1992	Unforgiven
1993	Groundhog Day
1993	Schindler’s List
1994	Forrest Gump
1994	Pulp Fiction
1994	The Shawshank Redemption
1995	Braveheart
1995	The City of Lost Children
1995	Toy Story
1996	Fargo
1997	Boogie Nights
1997	Good Will Hunting
1997	Titanic
1998	Rushmore
1999	Being John Malkovich
1999	The Matrix
1999	The Sixth Sense
2000	Crouching Tiger Hidden Dragon
2001	Spirited Away
2002	City of God
2005	Brokeback Mountain
2007	No Country for Old Men
2007	There Will Be Blood
2008	The Hurt Locker
2013	12 Years a Slave
2015	Mad Max: Fury Road
2017	Get Out
